movieId,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,posterUrl
tt0101605,The Commitments,The Commitments,1991,118,Comedy_Drama_Music,https://image.tmdb.org/t/p/w185/tjBSJOoFgu8cgy0b735AVGMhoQz.jpg
tt0101609,Conagher,Conagher,1991,94,Drama_Western,https://image.tmdb.org/t/p/w185/8Ur2JSDhldj5hnbNrNkIAD9Jcyk.jpg
tt0101622,Crazy from the Heart,Crazy from the Heart,1991,94,Drama_Romance,Unknown
tt0101632,Csapd le csacsi!,Csapd le csacsi!,1991,80,Comedy,https://image.tmdb.org/t/p/w185/whn8pJlJMY3wY8FUl8oDKx1erA4.jpg
tt0101640,Raise the Red Lantern,Dà hóng denglong gaogao guà,1991,125,Drama_History_Romance,https://image.tmdb.org/t/p/w185/2N0CsC6PhaS0YcIqfETRCkbsvyv.jpg
tt0101649,Thalapathi,Thalapathi,1991,157,Action_Crime_Drama,https://image.tmdb.org/t/p/w185/dpF1Ck1UvpW0ItT1EoX0xNYEhS8.jpg
tt0101690,"Video jela, zelen bor","Video jela, zelen bor",1991,78,Comedy,https://image.tmdb.org/t/p/w185/qkZhIDthWqADs9Nty35NR9e11xi.jpg
tt0101698,Defending Your Life,Defending Your Life,1991,112,Comedy_Drama_Fantasy,https://image.tmdb.org/t/p/w185/pkNIdL0fOENFBq3DdTb0M8FB26t.jpg
tt0101700,Delicatessen,Delicatessen,1991,99,Comedy_Crime,https://image.tmdb.org/t/p/w185/pKnDFrLBHh6qXW9n8IbfFOvurUU.jpg
tt0101733,Dil Hai Ki Manta Nahin,Dil Hai Ki Manta Nahin,1991,154,Adventure_Comedy_Drama,https://image.tmdb.org/t/p/w185/ylyfnkNCVjW41GEFyuHUWEhHoMn.jpg
tt0101748,Dogfight,Dogfight,1991,94,Comedy_Drama_Romance,https://image.tmdb.org/t/p/w185/z8wbcXIesquSFQEDEjk4uSskPS7.jpg
tt0101761,The Doors,The Doors,1991,140,Biography_Drama_Music,https://image.tmdb.org/t/p/w185/14Jw0oYnpRoJ2BPoJwje3wrNOwp.jpg
tt0101765,The Double Life of Véronique,La double vie de Véronique,1991,98,Drama_Fantasy_Music,https://image.tmdb.org/t/p/w185/oqRyO9xrNBRaxqF9pCHHgLuaATx.jpg
tt0101811,Enchanted April,Enchanted April,1991,95,Drama,https://image.tmdb.org/t/p/w185/dAajzKu5oGtXsfmruV8pDHDP4hK.jpg
tt0101829,Europa,Europa,1991,112,Drama_Thriller,https://image.tmdb.org/t/p/w185/ot4yJ4Hi1pXPaQpejUGtOIcAN18.jpg
tt0101889,The Fisher King,The Fisher King,1991,137,Comedy_Drama_Fantasy,https://image.tmdb.org/t/p/w185/5mb1IV53luUNTRyF3TSC77X1KZs.jpg
tt0101891,The Five Heartbeats,The Five Heartbeats,1991,121,Drama_Music,https://image.tmdb.org/t/p/w185/mmNKtRPFVfyUKCe8e89pGkeBlRK.jpg
tt0101898,Flirting,Flirting,1991,99,Drama_Romance,https://image.tmdb.org/t/p/w185/aJDz0TLsGFZY9XYIqIcVa2DP98y.jpg
